id	offset	lines	chars	max_line_cells	japanese	english	notes
392	0x00781c	3	22	11	ちがうよ\n見えないともだちの力を\nかりてるだけさ		
393	0x007856	1	3	3	友達？		
394	0x007866	2	12	9	たぶん\n街の精霊のことだわ		
395	0x007884	3	19	9	彼には\nシャーマンの能力が\n感じられるもの		
396	0x0078b8	2	11	9	ねえ\n教えてくれないかな		
397	0x0078d4	1	11	11	辻斬りのことなんだけど		
398	0x0078f4	1	2	2	……		
399	0x007902	2	13	9	あなたを襲ったのは\nこの人？		
400	0x007928	1	2	2	！！		
401	0x007936	3	20	8	ごめんね\n驚かすつもりじゃ\nなかったんだけど		
402	0x00796c	1	11	11	こいつに襲われたのね？		
403	0x00798c	1	4	4	……うん		
404	0x00799e	1	2	2	……		
405	0x0079a6	3	25	12	……いつもとおなじように\nこのあたりで\nあそんでたんだ		
406	0x0079e0	2	17	13	そしたら\nそいつがおそいかかってきた		
407	0x007a08	2	18	11	どこから出てきたのかも\nわかんなかった		
408	0x007a38	2	15	11	そいつに\nどんどん追っかけられて		
409	0x007a5c	2	14	10	もう逃げらんないって\nおもった		
410	0x007a7e	3	15	9	でも\nだれかが\nたすけてくれたんだ		
411	0x007aaa	2	12	10	え？\n誰かが助けてくれた？		
412	0x007ace	1	2	2	うん		
413	0x007ad6	2	18	12	『たすけてほしいか』って\n声がきこえて		
414	0x007b00	2	24	12	たすけてくれって言ったら\nあいつが消えちゃったんだ		
415	0x007b3c	2	12	8	どっちも\nともだちに似てた		
416	0x007b5a	3	24	12	でも\n追いかけてきたほうは\nともだちなんかじゃないよ		
417	0x007b98	2	14	8	もうだいじょうぶ\n危険はないわ		
418	0x007bc0	1	7	7	……ほんとう？		
419	0x007bd8	2	10	7	本当よ\nあたしを信じて		
420	0x007bf4	1	2	2	周囲		
421	0x007bfc	4	16	4	仲間\n通行人1\n通行人2\n通行人3		
422	0x007c2c	2	14	11	渋谷は\nとてもきらびやかな街だ		
423	0x007c4e	1	2	2	でも		
424	0x007c56	3	25	11	裏通りに\n一歩足を踏み入れれば\nもうひとつの顔が見える		
425	0x007c90	3	24	10	渋谷のもうひとつの顔\nギャングたちが集まる\n危険な街		
426	0x007cc8	3	23	10	影のなかでは\nギャングたちが\n戦いを繰り広げている		
427	0x007d04	2	13	9	表通りは\nはなやかだけど……		
428	0x007d2a	2	14	7	辻斬りの現場は\n裏通りみたいね		
429	0x007d52	3	32	16	表通りは華やかですね\nここじゃ、さすがにギャングたちは\n見当たらない		
430	0x007da0	3	20	8	やっぱり\nギャングの評判は\nよくありませんね		
431	0x007dd0	2	15	11	裏通りは\n彼らの天下、ですか……		
432	0x007dfa	3	21	12	辻斬り事件？\nどうせ\nギャングどもの抗争だろう		
433	0x007e2c	3	30	15	このあたりじゃ\nまだおとなしいが\n裏通りはギャングたちの天下だよ		
434	0x007e76	2	15	10	表通りじゃ\n事件は起きてないなあ		
435	0x007e9a	3	27	12	事件のことを\n知りたいんだったら\n裏通りに行って見るんだな		
436	0x007ede	3	19	9	『オンフォール』？\n……ああ\n知ってますよ		
437	0x007f0c	3	20	11	でも\nあそこはギャングどもの\n溜まり場ですよ		
438	0x007f42	2	16	8	場所を教えるのは\nかまいませんけど		
439	0x007f68	2	17	12	普通の人が\n行く場所じゃありませんよ		
440	0x007f96	1	11	11	ストリート・ギャング？		
441	0x007fb0	3	26	11	このへんじゃ\nメタルなんとかってのが\n強いって話だけどね		
442	0x007ff2	2	20	11	メタルはいろんな連中を\n相手にしてるからね		
443	0x008020	3	22	9	最近も横浜の連中や\n武空ってギャングと\n戦ってた		
444	0x00805a	3	29	12	武空に会いたいんだったら\n裏通りにある『逆島屋』に\n行ってみな		
445	0x00809e	2	8	4	逆島屋\nギャング		
446	0x0080b4	2	4	2	仲間\n武空		
447	0x0080c2	4	32	8	挑発するように\nなだめるように\nたしなめるように\nあくまで冷静に		
448	0x008110	2	18	9	表通りとは正反対ね\n暗くって危険な感じ		
449	0x008140	2	15	8	すごく古めかしい\n感じの店だけど		
450	0x00816a	2	20	12	あたりにたむろしてるのが\n武空のメンバーね		
451	0x00819e	3	23	11	この雰囲気じゃ\n普通の人は\nなかなか近よれないわね		
452	0x0081da	1	4	4	あらあら		
453	0x0081e6	3	20	13	なんか\n雰囲気が\nピリピリしてきちゃったわね		
454	0x00821c	3	23	9	ギャングたちの姿が\n見えないわ\n店もからっぽみたい		
455	0x008258	3	22	12	スキンヘッドが\n連中の\nトレードマークみたいだな		
456	0x008292	1	6	6	ヤな感じ……		
457	0x0082a2	3	22	10	こっちをにらみつけて\nあたしたちを\n威嚇してるわ		
458	0x0082dc	3	18	6	あたしたちを\n警戒してるわ\nどうしよう？		
459	0x00830e	2	15	11	なんだか\nみんな怯えてるみたいね		
460	0x008338	3	24	11	さすがに\nあたしたちに気を許した\nわけじゃないみたい		
461	0x008376	1	13	13	もう、ここにはいないようね		
462	0x00839a	2	15	11	さっさと\n用事を済ませてしまおう		
463	0x0083c4	3	17	7	武空の連中は\nどこかに\n行ったようだな		
464	0x0083f4	3	23	8	なんだてめえら？\nここがどこだか\nわかってんのか？		
465	0x008430	2	15	11	おいおい\nそうとんがるなって……		
466	0x00845a	3	19	9	うるせえ！\nてめえらに\n話すことなんかねえ		
467	0x00848e	1	9	9	しつこい野郎どもだ		
468	0x0084a4	1	3	3	……！		
469	0x0084ae	2	13	9	てめえら\nまさかメタルの……		
470	0x0084d4	1	4	4	おやおや		
471	0x0084e0	2	20	11	血の気が多いうえに\n勘違いまでしてるのか？		
472	0x008514	1	5	5	そうみたい		
473	0x008522	3	25	10	あたしたちを\nメタルのメンバーと\n思ってるんじゃない？		
474	0x008562	3	21	12	メタルには\nひどく痛めつけられたって\n話だが？		
475	0x00859a	3	16	8	おまえら\n俺たちを\n笑いに来たのか？		
476	0x0085c8	3	21	12	確かに\nひどい有様さ\n奴らの勢いにはかなわねえ		
477	0x008600	1	6	6	そのメタルが		
478	0x008610	3	19	12	最近\n次々と襲われてるって話は\nどうだい？		
479	0x008644	2	17	10	渋谷の辻斬り事件だろ\nいい気味さ……		
480	0x008672	1	5	5	……ん？！		
481	0x008680	3	25	11	おまえら何が言いたい？\nまさか\n俺たちを疑ってるのか？		
482	0x0086c0	1	2	2	ああ		
483	0x0086c8	3	28	15	辻斬りが\nメタルへの報復なら\nおまえたちにも動機があるからな		
484	0x00870e	1	10	10	ハハ、そいつは傑作だ		
485	0x00872c	1	8	8	どういう意味だ？		
486	0x008746	1	9	9	隠したって仕方ねえ		
487	0x00875c	3	23	10	俺たちが\nまだ生きのびてるのは\n奇跡みたいなもんさ		
488	0x008792	3	28	13	いまの俺たちには\nメタルに手を出すほどの力は\n残っちゃいない		
489	0x0087d2	2	18	10	信じる信じないは\nあんたの勝手だけどな		
490	0x008802	3	19	9	じゃあ\nあんたらが見て\n誰が怪しいと思う？		
491	0x008836	3	18	9	そんなのは\n俺たちの\n知ったこっちゃねえ		
492	0x008862	3	19	12	だが\nなんにせよ\n辻斬りはいい度胸してるさ		
493	0x008890	3	29	13	メタルの奴らは\nこの辻斬り事件さえ\n勢力拡大に使うつもりなのさ		
494	0x0088d2	3	24	10	犯人がわかれば\nそいつ徹底的に\nつぶしにかかるだろう		
495	0x008910	3	20	9	メタルも\n辻斬りと同じくらい\n恐ろしい連中さ		
496	0x008946	3	19	9	メタルは\nこの事件さえ\n勢力拡大に使う……		
497	0x008974	2	17	11	あたしたちが\n犯人を探しだしたとして		
498	0x00899c	3	21	9	そこから\nまた新しい戦いが\n起こるとしたら……		
499	0x0089d4	1	2	2	……		
500	0x0089e2	1	6	6	そのメタルが		
501	0x0089f2	3	20	12	最近\n次々と襲われてるって話は\nどうですか？		
502	0x008a28	2	15	10	渋谷の辻斬り事件だろ\nいい気味さ		
503	0x008a4c	1	4	4	……？！		
504	0x008a58	3	25	11	おまえら何が言いたい？\nまさか\n俺たちを疑ってるのか？		
505	0x008a98	1	5	5	そうですね		
506	0x008aa6	2	13	9	辻斬りが\nメタルへの報復なら		
507	0x008ac6	2	18	11	あなたたちにも\n動機があるわけですから		
508	0x008af6	1	10	10	ハハ、そいつは傑作だ		
509	0x008b14	1	9	9	どういう意味です？		
510	0x008b30	1	9	9	隠したって仕方ねえ		
511	0x008b46	3	23	10	俺たちが\nまだ生きのびてるのは\n奇跡みたいなもんさ		
512	0x008b7c	3	28	13	いまの俺たちには\nメタルに手を出すほどの力は\n残っちゃいない		
513	0x008bbc	2	18	10	信じる信じないは\nあんたの勝手だけどな		
514	0x008bec	3	22	11	じゃあ\nあなたがたが見て\n誰が怪しいと思います？		
515	0x008c26	3	19	9	そんなことは\n俺たちの\n知ったこっちゃねえ		
516	0x008c54	3	19	12	だが\nなんにせよ\n辻斬りはいい度胸してるさ		
517	0x008c82	3	29	13	メタルの奴らは\nこの辻斬り事件さえ\n勢力拡大に使うつもりなのさ		
518	0x008cc4	3	21	10	犯人がわかれば\n徹底的に\nつぶしにかかるだろう		
519	0x008cfc	3	20	9	メタルも\n辻斬りと同じくらい\n恐ろしい連中さ		
520	0x008d32	3	19	9	メタルは\nこの事件さえ\n勢力拡大に使う……		
521	0x008d60	2	17	11	あたしたちが\n犯人を探しだしたとして		
522	0x008d88	3	21	9	そこから\nまた新しい戦いが\n起こるとしたら……		
523	0x008dc0	1	2	2	……		
524	0x008dce	2	17	12	おめえらか\n金を払う気になったかい？		
525	0x008dfc	1	13	13	どのように話しかけますか？		
526	0x008e20	2	19	12	俺たちがメタルだとしたら\nどうするんだ？		
527	0x008e52	2	10	7	ちっ！\n知れたことよ！		
528	0x008e72	2	15	11	やれやれ\n話を聞きそびれちまった		
529	0x008e9c	3	18	10	まったく\nあんたも\n血の気が多いんだから		
530	0x008ece	3	22	10	そうとんがるなよ\n俺たちは\n話を聞きにきただけさ		
531	0x008f08	1	4	4	話だぁ？		
532	0x008f1a	3	17	10	そうさ\n聞きたいことを聞けば\n退散する		
533	0x008f4a	2	17	10	……おまえたち\nメタルじゃないのか？		
534	0x008f78	1	2	2	ああ		
535	0x008f80	2	15	10	このとおり\n武器も構えちゃいない		
536	0x008faa	1	2	2	……		
537	0x008fb8	2	16	11	いいだろう\nあんたは信用できそうだ		
538	0x008fe4	3	25	10	ピリピリする気持ちも\nわかるけど\n少しは落ちついたら？		
539	0x00901e	3	21	12	これで\nメタル・ラビリンス相手に\n戦うだなんて		
540	0x009050	1	8	8	信じられないわね		
541	0x00906a	1	8	8	な・ん・だとぉ？		
542	0x009084	3	18	9	ほら\nそんな短気じゃ\nやっていけないわよ		
543	0x0090b6	1	6	6	うるせえっ！		
544	0x0090cc	2	15	11	ちょっと\nやりすぎたみたいね……		
545	0x0090f6	2	15	12	相手を\n怒らせてどうするんですか		
546	0x009120	3	27	13	だって\nあんまりカリカリしてるのが\nおもしろかったんだもん		
547	0x009164	3	29	11	へっ！　とんがり耳か\n痛い目にあわねえうちに\nとっとと消えな！		
548	0x0091ac	3	30	11	エルフにむかって\nそういう口のききかたは\nやめたほうが賢明ですね		
549	0x0091f0	3	17	9	それに\nもうひとつ\n言っておきましょう		
550	0x00921a	2	17	11	わたしたちは\nギャングではありません		
551	0x009248	3	20	11	けっ！\nそのお偉いエルフさんが\nなんの用だ？		
552	0x00927e	3	19	11	別段\nあなたがたと\n争うつもりはありません		
553	0x0092ac	1	12	12	少し話を聞きたいだけです		
554	0x0092ce	1	10	10	話を聞きたいねぇ……		
555	0x0092e6	3	25	9	お偉いエルフさんは\nものの頼みかたを\n知らねえようだな		
556	0x009326	1	6	6	やれやれ……		
557	0x00933c	1	9	9	お金を渡しますか？		
558	0x009358	1	13	13	……で、何が聞きたいんだ？		
559	0x00937c	3	22	12	メタルには\nひどく痛めつけられたって\n話ですが？		
560	0x0093b6	3	16	8	おまえら\n俺たちを\n笑いに来たのか？		
561	0x0093de	3	21	12	確かに\nひどい有様さ\n奴らの勢いにはかなわねえ		
562	0x009416	2	17	9	礼儀を知らねえ奴に\n話すことはねえぜ		
563	0x009440	2	8	4	周囲\nギャング		
564	0x009456	3	12	4	仲間\n入口の男\nギャング		
565	0x009476	2	14	7	無理に押し入る\n引き上げる		
566	0x00949c	1	11	11	へえ、上品な店じゃない		
567	0x0094b6	2	14	9	ギャングが\n集まるっていうから		
568	0x0094d8	2	17	11	もっとけばけばしいのを\n想像してたわ		
569	0x009506	2	16	9	こうして見ると\n普通の店なんだけど		
570	0x009532	3	21	12	ちっ\nどうやら、休みのようだな\n出直すしかない		
571	0x00956a	3	21	13	なぁんだ\nせっかく\n話が聞けると思ったのに……		
572	0x0095a2	3	19	11	待ちなよ\nあんたら\nどこへいくつもりだい？		
573	0x0095d6	1	6	6	帰るところさ		
574	0x0095e6	3	25	12	魔法使いに\n会いにきたんだが\n相手にしてもらえなくてな		
575	0x009626	2	13	9	影使いに\n会いたいんだろう？		
576	0x009646	2	13	7	こっちへ来な\n会わせてやるよ		
577	0x00966c	1	4	4	やった！		
578	0x009678	3	21	9	どうやら\nウイザーズの面々が\nおでましみたいね		
579	0x0096b0	2	14	8	このなかにも\n魔法使いがいるわ		
580	0x0096d8	3	21	11	どうやら\n簡単に会わせるつもりは\nなさそうだな		
581	0x009710	1	11	11	こいつらから聞き出そう		
582	0x009730	1	12	12	いったい、どういうこと？		
583	0x009752	1	2	2	……		
584	0x009760	1	2	2	……		
585	0x00976e	3	28	12	……とにかく\nシルバー・ムーンに戻って\n考えをまとめましょう		
586	0x0097b4	1	8	8	影使いはどこだ？		
587	0x0097c8	3	15	7	まさか\nこんなところで\nご対面か？		
588	0x0097f4	3	20	9	おまえら\n影使いに会って\nどうするつもりだ？		
589	0x00982a	2	19	11	少し話を聞きたいだけさ\n渋谷のこととかね		
590	0x00985c	1	3	3	……！		
591	0x009866	2	26	13	いま渋谷に戻られたら面倒だ\n……かまわん、やっちまえ！		
592	0x0098a6	3	19	9	魔法を\nこんな風にしか\n使えないなんて……		
593	0x0098da	1	2	2	……		
594	0x0098e8	2	22	11	さあ、答えてもらおうか\nなぜ、俺たちを襲った？		
595	0x009920	3	25	11	影使いのことを\n調べまわる奴は\n生かしちゃおけねぇ……		
596	0x009960	2	18	9	影使いを隠すことに\nどんな意味がある？		
597	0x009990	2	10	6	……へっ\n知るもんか！		
598	0x0099b0	2	17	11	聞きわけがない坊やには\nこうだぜ……		
599	0x0099de	1	3	3	ひっ！		
600	0x0099ee	2	13	11	なぜ\n影使いを隠そうとする？		
601	0x009a14	1	4	4	……くっ		
602	0x009a26	1	3	3	答えろ		
603	0x009a36	2	20	12	……影使いは、もういない\n死んじまったのさ		
604	0x009a76	1	9	9	影使いが、死んだ？		
605	0x009a92	2	10	8	ああ\nもう1ヵ月になる		
606	0x009aac	2	17	9	渋谷の戦いで受けた\n流れ弾が原因でな		
607	0x009ad4	2	17	9	あれほどの使い手が\nあっけないもんさ		
608	0x009b02	3	27	12	影使いが死んだとわかれば\nメタルの連中が\n勢力を伸ばそうと		
609	0x009b40	2	16	10	こっちにまで\n乗りこんでくるだろう		
610	0x009b66	3	20	8	そうなりゃ\nいまの俺たちは\nひとたまりもない		
611	0x009b96	3	20	11	だから\n影使いの死は\n知られたくなかった……		
612	0x009bcc	2	12	9	じゃあ\nこいつに見覚えは？		
613	0x009bf0	1	3	3	……！		
614	0x009bfa	3	22	8	そ、そいつは\n影使いが操ってた\n精霊じゃねえか！		
615	0x009c34	1	4	4	なにっ！		
616	0x009c46	3	25	12	影使いが従えていた精霊は\n人間の姿に\nなることができた		
617	0x009c80	2	18	11	きれいな女にも\n恐ろしい用心棒にも……		
618	0x009caa	3	22	10	それで\n俺たちといっしょに\n行動することもあった		
619	0x009cde	2	12	10	俺は\n魔法は使えないからな		
620	0x009cfc	3	20	12	あとで\nこいつは人間じゃないって\n聞かされて		
621	0x009d2c	2	16	12	ずいぶん気味悪かったのを\n覚えてる		
622	0x009d52	3	25	11	そのホロの侍は\n影使いが連れてた精霊に\nそっくりだ……		
623	0x009d92	1	4	4	頼む……		
624	0x009d9e	3	29	12	何が目的かは知らないが\n影使いが死んだことだけは\n黙っててくれ		
625	0x009de0	3	25	12	メタルの連中に知られたら\n今度こそ\n本当につぶされる！		
626	0x009e20	1	2	2	……		
627	0x009e2a	5	15	3	店\nのれん\n店内\n主人\n以蔵		
628	0x009e54	3	6	2	仲間\n主人\n以蔵		
629	0x009e68	2	8	4	威圧する\n無視する		
630	0x009e82	2	14	10	なんだか\nうらぶれた感じの店ね		
631	0x009eaa	2	19	11	落ちこんだ人には\nぴったりと思うけど……		
632	0x009edc	2	14	11	『暁』\n間違いない、この店だわ		
633	0x009f04	1	12	12	日本風の飲み屋ですか……		
634	0x009f20	2	15	13	実は\nこういう店ははじめてで……		
635	0x009f4a	1	5	5	はじめて？		
636	0x009f58	3	25	14	そういえば\nDヘッドって\nあんまりお酒飲まなかったわね		
637	0x009f98	1	9	9	とにかく中に入ろう		
638	0x009fb4	1	8	8	店に入りますか？		
639	0x009fce	3	21	11	いらっしゃい！\nどうぞ\nこちらのカウンターへ！		
640	0x00a000	1	9	9	なんにしましょう？		
641	0x00a01c	1	3	3	熱かん		
642	0x00a02c	1	4	4	あたしも		
643	0x00a03e	1	12	12	……わたしは水でいいです		
644	0x00a060	3	22	9	なあ、おやじさん\n以蔵ってサムライは\n来てるかい		
645	0x00a09a	1	9	9	へっ以蔵さんかい？		
646	0x00a0b6	2	16	9	ほら、あそこで\n飲んでるのがそうさ		
647	0x00a0e2	2	16	10	中はちょっと\n古めかしい感じだけど		
648	0x00a108	2	16	12	たまには\nこういうのも悪くないわね		
649	0x00a134	2	12	8	おじさん\nおでんちょうだい		
650	0x00a158	1	4	4	へいっ！		
651	0x00a16a	2	16	12	すっかり\n自信をなくしてるって感じ		
652	0x00a196	3	25	11	かなりの凄腕らしいけど\nいまは\nとてもそう見えないわね		
653	0x00a1d6	3	27	12	名うてのサムライが\nこんなとこで\nくすぶってるとはねえ……		
654	0x00a21a	2	18	10	精霊っていうなら\nマオの専門じゃないか		
655	0x00a24a	2	13	7	あたしの友達は\n自然界の精霊		
656	0x00a26a	3	27	11	影使いって人が操ってた\n元素の精霊とは\nぜんぜん別物なのよ		
657	0x00a2a8	1	11	11	あたしにはわからないわ		
658	0x00a2c8	2	12	8	いいの？\nあんなこと言って		
659	0x00a2e6	3	25	11	あの人に先を越されると\nあたしたち\nただ働きになるわよ		
660	0x00a326	3	17	10	すまない\nだけど\n一目見てわかったんだ		
661	0x00a350	2	12	8	あの男は\n本当のサムライだ		
662	0x00a36e	2	17	11	あんなとこで\nくすぶってる奴じゃない		
663	0x00a396	2	20	12	サムライの誇りを\n思い出してほしかったのさ		
664	0x00a3ca	2	16	10	……まったく\n人がいいんだから……		
665	0x00a3f6	3	20	9	しかし\n銃が効かないとはな\nどういうことだ？		
666	0x00a42c	3	16	11	風に\n助けられたっていうのも\n妙よね		
667	0x00a45a	2	18	12	果たして相手は魔法使いか\n……それとも		
668	0x00a48a	2	14	8	……それとも\n人間ですらないか		
669	0x00a4b2	3	29	11	いずれにしても\n以蔵が逃げこんだ場所に\n行ってみる必要があるな		
670	0x00a4fa	3	21	11	とにかく\n以蔵が逃げこんだ場所に\n行ってみよう		
671	0x00a532	2	15	10	あそこで飲んでるのが\n以蔵さんさ		
672	0x00a55c	3	25	11	待ちなよ\nあんたら、見ねえ顔だな\n以蔵さんに何の用だ？		
673	0x00a59c	2	16	9	あんたを襲ったのは\nこいつだろう？		
674	0x00a5c8	1	4	4	……ああ		
675	0x00a5da	2	22	12	襲われたときのことを\n詳しく聞かせてほしいんだ		
676	0x00a612	1	7	7	あのことか……		
677	0x00a62a	3	31	14	メタル・ラビリンスの\n連中に頼まれて\n辻斬りを張ってたときのことだ		
678	0x00a670	2	21	11	ちょうどメンバーから\n緊急の連絡が入ったのさ		
679	0x00a6a0	2	20	10	辻斬りを見つけたから\n手を貸してくれってな		
680	0x00a6ce	2	13	11	だが\n俺が駆けつけたときには		
681	0x00a6ee	2	20	10	知らせてくれたやつは\nもう血祭りにされてた		
682	0x00a71c	1	10	10	体にしみついた反射さ		
683	0x00a734	3	25	10	俺は即座に銃を抜いて\nありったけの弾を\n奴に撃ちこんだ		
684	0x00a76e	3	19	9	……だが\nまったく手ごたえが\nありゃしねえ		
685	0x00a79c	2	11	9	銃が\nろくに効かねえんだ		
686	0x00a7b8	2	21	11	弾倉を空にしたあとも\n奴は平然としてやがった		
687	0x00a7e8	3	17	10	そして\n俺を見て\n笑いやがったのさ……		
688	0x00a818	3	22	12	……俺も\n銃の効かない奴と戦うほど\nバカじゃない		
689	0x00a84c	3	17	9	そこから\nさっさと\nずらかろうとしたさ		
690	0x00a876	2	14	10	……だが\n奴を振りきれなかった		
691	0x00a898	3	23	12	奴は\nじわじわといたぶるように\n俺を傷つけていった		
692	0x00a8ce	1	7	7	情けないもんさ		
693	0x00a8e0	3	20	11	俺は\n恐ろしくなって\n逃げるしかなかったんだ		
694	0x00a910	3	19	12	気がつきゃ\n俺は\n袋小路に追いつめられてた		
695	0x00a944	2	14	10	……だが\n妙なこともあるもんさ		
696	0x00a966	3	16	10	奴は\nそれ以上\n追いかけてこなかった		
697	0x00a98e	3	24	9	それどころか\nそこに立ち止まって\nすっと消えちまった		
698	0x00a9c6	3	24	10	……へっ\n俺は、奴のきまぐれで\n生き延びたってわけさ		
699	0x00aa04	2	15	11	辻斬りが\nとどめを刺さなかった？		
700	0x00aa2e	3	20	11	ああ\n逃げ込んだ場所の手前で\n奴は足を止めた		
701	0x00aa64	1	8	8	どういうことだ？		
702	0x00aa7e	3	15	8	さあな\nこっちが\n聞きたいくらいだ		
703	0x00aaa4	2	11	7	……ただ\n風が……吹いた		
704	0x00aac0	2	12	8	ちょうど\n奴が姿を消す前だ		
705	0x00aade	3	15	11	へっ\n俺は\n風に助けられたのかもな		
706	0x00ab0a	3	16	8	なんでもいい\n他に\n気づいたことは？		
707	0x00ab38	1	3	3	……！		
708	0x00ab42	2	12	8	……いや\nそんなはずはねえ		
709	0x00ab66	1	5	5	どうした？		
710	0x00ab7a	3	19	10	奴とは\n前にどこかで\n戦ったような気がする		
711	0x00aba8	1	11	11	……たんなる思い過しさ		
712	0x00abd4	3	28	10	メタル・ラビリンスの\n抗争相手について\nなにか知ってるかい？		
713	0x00ac14	2	17	11	今度の事件が\nメタルに対する報復なら		
714	0x00ac3c	2	15	8	戦ってた相手を\n探るのが早そうだ		
715	0x00ac66	3	28	11	一番最近の抗争相手なら\nウイザーズ・エッジ\n横浜のギャングさ		
716	0x00aca6	2	24	12	魔法の使い手が多いんでね\n一筋縄じゃいかない相手だ		
717	0x00acdc	3	22	12	なかでも\n『影使い』って魔法使いは\n手ごわかった		
718	0x00ad16	1	4	4	影使い？		
719	0x00ad28	2	19	11	元素の精霊を操り\n強力な呪文を使いこなす		
720	0x00ad54	2	24	15	あるいは奴なら……\n今度の事件を起こせるかもしれん		
721	0x00ad90	3	20	8	そうだ、以蔵さん\n辻斬りは\n俺たちが始末する		
722	0x00adc0	3	17	10	あんたは\nここで\nくすぶってるがいいさ		
723	0x00adea	2	11	7	取りまきどもと\n一緒にな		
724	0x00ae0c	1	4	4	……へっ		
725	0x00ae18	2	20	11	……待ちな、若いの\nあいつは……俺の獲物だ		
726	0x00ae4c	3	14	9	なら\nどっちが先に倒すか\n競争だ		
727	0x00ae70	3	23	13	まあ\nいまのあんたじゃ\n俺たちの勝ちは見えてるがな		
728	0x00aeac	1	2	2	……		
729	0x00aeba	1	6	6	……黙りな！		
730	0x00aed0	1	4	4	うっ……		
731	0x00aee2	3	27	13	以蔵さんと話がしたいだけさ\nあんたに\n用があるわけじゃない		
732	0x00af26	2	18	13	……くっ！\nなめんじゃねえぞっ、若造！		
733	0x00af56	2	18	12	おいおいっ！\nケンカは外でやってくれ！		
734	0x00af86	3	23	10	そのへんでやめときな\nその若いのは\n『サムライ』だ		
735	0x00afc2	1	4	4	うぇっ！		
736	0x00afd4	1	11	11	あんたが以蔵さんだな？		
737	0x00aff4	1	2	2	……		
738	0x00b002	2	24	12	腕利きのサムライにしちゃ\nみっともない姿じゃないか		
739	0x00b038	2	17	9	辻斬りにやられて\n落ち込んでるとはね		
740	0x00b060	3	18	9	おまけに\n取りまきまでつけて\nいい身分だ		
741	0x00b08c	2	14	10	そんなに\n辻斬りが恐いのかい？		
742	0x00b0b4	3	23	12	……若いの\nケンカをふっかけるんなら\n他をあたりな		
743	0x00b0ea	3	20	10	あいにく\nつきあってやれるほど\nヒマじゃねえ		
744	0x00b120	2	16	14	別に\nケンカを売りたいわけじゃない		
745	0x00b146	2	18	11	いくつか教えてくれれば\n邪魔はしないさ		
746	0x00b176	1	3	3	……？		
747	0x00b186	1	2	2	……		
748	0x00b194	2	7	4	おい！\n待ちな！		
749	0x00b1a8	2	19	11	以蔵さんになんの用だと\n聞いてんだよ！！		
750	0x00b1da	1	2	2	……		
751	0x00b1e8	3	17	6	この野郎……\nいい度胸だ！\n表に出な！		
752	0x00b218	2	10	8	ちっ\nうざってえやつだ		
753	0x00b238	1	9	9	ちょっと、大丈夫？		
754	0x00b254	2	13	9	大丈夫さ\nちょっと行ってくる		
755	0x00b27a	2	21	11	たいしたやんちゃ坊主だ\n俺もぶちのめすかい？		
756	0x00b2b0	3	18	8	やめとくよ\nあんたとは\n話をしたいだけだ		
757	0x00b2dc	3	21	10	しかし\n素人同然の取りまきに\n守ってもらうとは		
758	0x00b30e	2	14	10	どういう\n風の吹きまわしだい？		
759	0x00b330	2	13	9	腕利きの\nサムライなんだろ？		
760	0x00b356	3	20	9	いまになって\n俺の首を狙う連中が\n多いんでな		
761	0x00b386	2	17	11	戦いに負けたサムライは\n悲しいもんさ		
762	0x00b3b4	2	12	10	おや\n以蔵さんならいねえぜ		
763	0x00b3d4	4	24	6	オンフォール\nギャング\n店内\nハジメ		
764	0x00b40e	3	12	4	仲間\nギャング\nハジメ		
765	0x00b432	3	22	11	危険な感じの店ね\nさすが\nギャングのたまり場だわ		
766	0x00b46c	2	16	10	コネがないと\n入れないっていうけど		
767	0x00b498	2	16	10	メタル・ラビリンスの\nメンバーだわ		
768	0x00b4c4	3	19	12	確かに\nあれじゃ\n普通のお客は入れないわね		
769	0x00b4f8	2	11	7	ハジメは\n店の中のようだ		
770	0x00b51a	1	7	7	店に入りますか		
771	0x00b532	3	15	6	おっと\n満員なんでね\n遠慮しときな		
772	0x00b55e	2	13	7	ハジメの友達だ\n六堂っていう		
773	0x00b584	1	9	9	……ハジメさんの？		
774	0x00b59a	2	10	6	わかった\n入っていいぜ		
775	0x00b5ba	1	8	8	とっとと、うせな		
776	0x00b5d4	2	15	11	ギャングのたまり場って\nいうから		
777	0x00b5f8	2	16	11	もっと危険なところかと\n思ってたわ		
778	0x00b624	2	13	7	見ためだけじゃ\nわからないさ		
779	0x00b64a	3	20	11	まあいいわ\nあたしは\nあっちで踊ってくるから		
780	0x00b680	3	20	9	やれやれ\n踊ってるどころじゃ\nないんだが……		
781	0x00b6b6	2	16	9	踊ってるどころじゃ\nないんだが……		
782	0x00b6e2	2	16	9	あれ、六堂さん……\nどうしました？		
783	0x00b70e	2	15	11	さっさと\n用事をすませてしまおう		
784	0x00b738	3	23	10	『以蔵』って用心棒が\n辻斬りにやられたって\n聞いた		
785	0x00b76e	1	10	10	少し教えてくれないか		
786	0x00b78c	1	8	8	ああ、以蔵さんね		
787	0x00b7a0	3	21	11	確かに\nウチで用心棒を\nやってもらってましたよ		
788	0x00b7d2	2	18	10	腕のたつ男でした\nボスにも信頼されてた		
789	0x00b7fc	2	22	12	俺たちが力を伸ばせたのも\nあの人がいたからです		
790	0x00b82e	3	24	11	もっとも\n辻斬り事件のあとは\n変わっちまいましたがね		
791	0x00b86c	1	9	9	いまはどうしてる？		
